category,job
Healthcare Practitioners and Technical Occupations,Medical and Clinical Laboratory Technologists
Healthcare Practitioners and Technical Occupations,Medical Records and Health Information Technicians
Healthcare Practitioners and Technical Occupations,Midwives
Healthcare Practitioners and Technical Occupations,Music Therapists
Healthcare Practitioners and Technical Occupations,Naturopathic Physicians
Healthcare Practitioners and Technical Occupations,Neurodiagnostic Technologists
Healthcare Practitioners and Technical Occupations,Neurologists
Healthcare Practitioners and Technical Occupations,Nuclear Medicine Physicians
Healthcare Practitioners and Technical Occupations,Nuclear Medicine Technologists
Healthcare Practitioners and Technical Occupations,Nurse Anesthetists
Healthcare Practitioners and Technical Occupations,Nurse Midwives
Healthcare Practitioners and Technical Occupations,Nurse Practitioners
Healthcare Practitioners and Technical Occupations,Obstetricians and Gynecologists
Healthcare Practitioners and Technical Occupations,Occupational Health and Safety Specialists
Healthcare Practitioners and Technical Occupations,Occupational Health and Safety Technicians
Healthcare Practitioners and Technical Occupations,Occupational Therapists
Healthcare Practitioners and Technical Occupations,Ophthalmic Medical Technicians
Healthcare Practitioners and Technical Occupations,Ophthalmic Medical Technologists
Healthcare Practitioners and Technical Occupations,Ophthalmologists
Healthcare Practitioners and Technical Occupations,"Opticians, Dispensing"
Healthcare Practitioners and Technical Occupations,Optometrists
Healthcare Practitioners and Technical Occupations,Oral and Maxillofacial Surgeons
Healthcare Practitioners and Technical Occupations,Orthodontists
Healthcare Practitioners and Technical Occupations,Orthoptists
Healthcare Practitioners and Technical Occupations,Orthotists and Prosthetists
Healthcare Practitioners and Technical Occupations,Pathologists
Healthcare Practitioners and Technical Occupations,"Pediatricians, General"
Healthcare Practitioners and Technical Occupations,Pharmacists
Healthcare Practitioners and Technical Occupations,Pharmacy Technicians
Healthcare Practitioners and Technical Occupations,Physical Medicine and Rehabilitation Physicians
Healthcare Practitioners and Technical Occupations,Physical Therapists
Healthcare Practitioners and Technical Occupations,Physician Assistants
Healthcare Practitioners and Technical Occupations,"Physicians and Surgeons, All Other"
Healthcare Practitioners and Technical Occupations,Podiatrists
Healthcare Practitioners and Technical Occupations,Preventive Medicine Physicians
Healthcare Practitioners and Technical Occupations,Prosthodontists
Healthcare Practitioners and Technical Occupations,Psychiatric Technicians
Healthcare Practitioners and Technical Occupations,Psychiatrists
Healthcare Practitioners and Technical Occupations,Radiation Therapists
Healthcare Practitioners and Technical Occupations,Radiologic Technicians
Healthcare Practitioners and Technical Occupations,Radiologic Technologists
Healthcare Practitioners and Technical Occupations,Radiologists
Healthcare Practitioners and Technical Occupations,Recreational Therapists
Healthcare Practitioners and Technical Occupations,Registered Nurses
Healthcare Practitioners and Technical Occupations,Respiratory Therapists
Healthcare Practitioners and Technical Occupations,Respiratory Therapy Technicians
Healthcare Practitioners and Technical Occupations,Speech-Language Pathologists
Healthcare Practitioners and Technical Occupations,Sports Medicine Physicians
Healthcare Practitioners and Technical Occupations,Surgeons
Healthcare Practitioners and Technical Occupations,Surgical Assistants
Healthcare Practitioners and Technical Occupations,Surgical Technologists
Healthcare Practitioners and Technical Occupations,"Therapists, All Other"
Healthcare Practitioners and Technical Occupations,Urologists
Healthcare Practitioners and Technical Occupations,Veterinarians
Healthcare Practitioners and Technical Occupations,Veterinary Technologists and Technicians
Healthcare Support Occupations,Dental Assistants
Healthcare Support Occupations,Endoscopy Technicians
Healthcare Support Occupations,"Healthcare Support Workers, All Other"
Healthcare Support Occupations,Home Health Aides
Healthcare Support Occupations,Massage Therapists
Healthcare Support Occupations,Medical Assistants
Healthcare Support Occupations,Medical Equipment Preparers
Healthcare Support Occupations,Medical Transcriptionists
Healthcare Support Occupations,Nursing Assistants
Healthcare Support Occupations,Occupational Therapy Aides
Healthcare Support Occupations,Occupational Therapy Assistants
Healthcare Support Occupations,Orderlies
Healthcare Support Occupations,Pharmacy Aides
Healthcare Support Occupations,Phlebotomists
Healthcare Support Occupations,Physical Therapist Aides
Healthcare Support Occupations,Physical Therapist Assistants
Healthcare Support Occupations,Psychiatric Aides
Healthcare Support Occupations,Speech-Language Pathology Assistants
Healthcare Support Occupations,Veterinary Assistants and Laboratory Animal Caretakers
"Installation, Maintenance, and Repair Occupations",Aircraft Mechanics and Service Technicians
"Installation, Maintenance, and Repair Occupations",Automotive Body and Related Repairers
"Installation, Maintenance, and Repair Occupations",Automotive Glass Installers and Repairers
"Installation, Maintenance, and Repair Occupations",Automotive Master Mechanics
"Installation, Maintenance, and Repair Occupations",Automotive Service Technicians and Mechanics
"Installation, Maintenance, and Repair Occupations",Automotive Specialty Technicians
"Installation, Maintenance, and Repair Occupations",Avionics Technicians
"Installation, Maintenance, and Repair Occupations",Bicycle Repairers
"Installation, Maintenance, and Repair Occupations",Bus and Truck Mechanics and Diesel Engine Specialists
"Installation, Maintenance, and Repair Occupations",Camera and Photographic Equipment Repairers
"Installation, Maintenance, and Repair Occupations","Coin, Vending, and Amusement Machine Servicers and Repairers"
"Installation, Maintenance, and Repair Occupations",Commercial Divers
"Installation, Maintenance, and Repair Occupations","Computer, Automated Teller, and Office Machine Repairers"
"Installation, Maintenance, and Repair Occupations","Control and Valve Installers and Repairers, Except Mechanical Door"
"Installation, Maintenance, and Repair Occupations","Electric Motor, Power Tool, and Related Repairers"
"Installation, Maintenance, and Repair Occupations","Electrical and Electronics Installers and Repairers, Transportation Equipment"
"Installation, Maintenance, and Repair Occupations","Electrical and Electronics Repairers, Commercial and Industrial Equipment"
"Installation, Maintenance, and Repair Occupations","Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"
"Installation, Maintenance, and Repair Occupations",Electrical Power-Line Installers and Repairers
"Installation, Maintenance, and Repair Occupations","Electronic Equipment Installers and Repairers, Motor Vehicles"
"Installation, Maintenance, and Repair Occupations",Electronic Home Entertainment Equipment Installers and Repairers
"Installation, Maintenance, and Repair Occupations","Fabric Menders, Except Garment"
"Installation, Maintenance, and Repair Occupations",Farm Equipment Mechanics and Service Technicians
"Installation, Maintenance, and Repair Occupations","First-Line Supervisors of Mechanics, Installers, and Repairers"
"Installation, Maintenance, and Repair Occupations",Geothermal Technicians
"Installation, Maintenance, and Repair Occupations",Heating and Air Conditioning Mechanics and Installers
"Installation, Maintenance, and Repair Occupations","Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
"Installation, Maintenance, and Repair Occupations","Helpers--Installation, Maintenance, and Repair Workers"
"Installation, Maintenance, and Repair Occupations",Home Appliance Repairers
"Installation, Maintenance, and Repair Occupations",Industrial Machinery Mechanics
"Installation, Maintenance, and Repair Occupations","Installation, Maintenance, and Repair Workers, All Other"
"Installation, Maintenance, and Repair Occupations",Locksmiths and Safe Repairers
"Installation, Maintenance, and Repair Occupations","Maintenance and Repair Workers, General"
"Installation, Maintenance, and Repair Occupations","Maintenance Workers, Machinery"
"Installation, Maintenance, and Repair Occupations",Manufactured Building and Mobile Home Installers
"Installation, Maintenance, and Repair Occupations",Mechanical Door Repairers
"Installation, Maintenance, and Repair Occupations",Medical Equipment Repairers
"Installation, Maintenance, and Repair Occupations",Millwrights
"Installation, Maintenance, and Repair Occupations","Mobile Heavy Equipment Mechanics, Except Engines"
"Installation, Maintenance, and Repair Occupations",Motorboat Mechanics and Service Technicians
"Installation, Maintenance, and Repair Occupations",Motorcycle Mechanics
"Installation, Maintenance, and Repair Occupations",Musical Instrument Repairers and Tuners
"Installation, Maintenance, and Repair Occupations",Outdoor Power Equipment and Other Small Engine Mechanics
"Installation, Maintenance, and Repair Occupations","Precision Instrument and Equipment Repairers, All Other"
"Installation, Maintenance, and Repair Occupations",Radio Mechanics
"Installation, Maintenance, and Repair Occupations","Radio, Cellular, and Tower Equipment Installers and Repairers"
"Installation, Maintenance, and Repair Occupations",Rail Car Repairers
"Installation, Maintenance, and Repair Occupations",Recreational Vehicle Service Technicians
"Installation, Maintenance, and Repair Occupations","Refractory Materials Repairers, Except Brickmasons"
"Installation, Maintenance, and Repair Occupations",Refrigeration Mechanics and Installers
"Installation, Maintenance, and Repair Occupations",Riggers
"Installation, Maintenance, and Repair Occupations",Security and Fire Alarm Systems Installers
"Installation, Maintenance, and Repair Occupations",Signal and Track Switch Repairers
"Installation, Maintenance, and Repair Occupations","Telecommunications Equipment Installers and Repairers, Except Line Installers"
"Installation, Maintenance, and Repair Occupations",Telecommunications Line Installers and Repairers
"Installation, Maintenance, and Repair Occupations",Tire Repairers and Changers
"Installation, Maintenance, and Repair Occupations",Watch Repairers
"Installation, Maintenance, and Repair Occupations",Wind Turbine Service Technicians
Legal Occupations,"Administrative Law Judges, Adjudicators, and Hearing Officers"
Legal Occupations,"Arbitrators, Mediators, and Conciliators"
Legal Occupations,Court Reporters
Legal Occupations,"Judges, Magistrate Judges, and Magistrates"
Legal Occupations,Judicial Law Clerks
Legal Occupations,Lawyers
Legal Occupations,"Legal Support Workers, All Other"
Legal Occupations,Paralegals and Legal Assistants
Legal Occupations,"Title Examiners, Abstractors, and Searchers"
"Life, Physical, and Social Science Occupations",Agricultural and Food Science Technicians
"Life, Physical, and Social Science Occupations",Agricultural Technicians
"Life, Physical, and Social Science Occupations",Animal Scientists
"Life, Physical, and Social Science Occupations",Anthropologists
"Life, Physical, and Social Science Occupations",Anthropologists and Archeologists
"Life, Physical, and Social Science Occupations",Archeologists
"Life, Physical, and Social Science Occupations",Astronomers
"Life, Physical, and Social Science Occupations",Atmospheric and Space Scientists
"Life, Physical, and Social Science Occupations",Biochemists and Biophysicists
"Life, Physical, and Social Science Occupations",Bioinformatics Scientists
"Life, Physical, and Social Science Occupations","Biological Scientists, All Other"
"Life, Physical, and Social Science Occupations",Biological Technicians
"Life, Physical, and Social Science Occupations",Biologists
"Life, Physical, and Social Science Occupations",Chemical Technicians
"Life, Physical, and Social Science Occupations",Chemists
"Life, Physical, and Social Science Occupations",City and Regional Planning Aides
"Life, Physical, and Social Science Occupations",Climate Change Analysts
"Life, Physical, and Social Science Occupations",Clinical Psychologists
"Life, Physical, and Social Science Occupations","Clinical, Counseling, and School Psychologists"
"Life, Physical, and Social Science Occupations",Conservation Scientists
"Life, Physical, and Social Science Occupations",Counseling Psychologists
"Life, Physical, and Social Science Occupations",Economists
"Life, Physical, and Social Science Occupations",Environmental Economists
"Life, Physical, and Social Science Occupations",Environmental Restoration Planners
"Life, Physical, and Social Science Occupations","Environmental Science and Protection Technicians, Including Health"
"Life, Physical, and Social Science Occupations","Environmental Scientists and Specialists, Including Health"
"Life, Physical, and Social Science Occupations",Epidemiologists
"Life, Physical, and Social Science Occupations",Food Science Technicians
"Life, Physical, and Social Science Occupations",Food Scientists and Technologists
"Life, Physical, and Social Science Occupations",Forensic Science Technicians
"Life, Physical, and Social Science Occupations",Forest and Conservation Technicians
"Life, Physical, and Social Science Occupations",Foresters
"Life, Physical, and Social Science Occupations",Geneticists
"Life, Physical, and Social Science Occupations",Geographers
"Life, Physical, and Social Science Occupations",Geological and Petroleum Technicians
"Life, Physical, and Social Science Occupations",Geological Sample Test Technicians
"Life, Physical, and Social Science Occupations",Geophysical Data Technicians
"Life, Physical, and Social Science Occupations","Geoscientists, Except Hydrologists and Geographers"
"Life, Physical, and Social Science Occupations",Historians
"Life, Physical, and Social Science Occupations",Hydrologists
"Life, Physical, and Social Science Occupations",Industrial Ecologists
"Life, Physical, and Social Science Occupations",Industrial-Organizational Psychologists
"Life, Physical, and Social Science Occupations","Life Scientists, All Other"
"Life, Physical, and Social Science Occupations","Life, Physical, and Social Science Technicians, All Other"
"Life, Physical, and Social Science Occupations",Materials Scientists
"Life, Physical, and Social Science Occupations","Medical Scientists, Except Epidemiologists"
"Life, Physical, and Social Science Occupations",Microbiologists
"Life, Physical, and Social Science Occupations",Molecular and Cellular Biologists
"Life, Physical, and Social Science Occupations",Neuropsychologists and Clinical Neuropsychologists
"Life, Physical, and Social Science Occupations",Nuclear Equipment Operation Technicians
"Life, Physical, and Social Science Occupations",Nuclear Monitoring Technicians
"Life, Physical, and Social Science Occupations",Nuclear Technicians
"Life, Physical, and Social Science Occupations",Park Naturalists
"Life, Physical, and Social Science Occupations","Physical Scientists, All Other"
"Life, Physical, and Social Science Occupations",Physicists
"Life, Physical, and Social Science Occupations",Political Scientists
"Life, Physical, and Social Science Occupations",Precision Agriculture Technicians
"Life, Physical, and Social Science Occupations","Psychologists, All Other"
"Life, Physical, and Social Science Occupations",Quality Control Analysts
"Life, Physical, and Social Science Occupations",Range Managers
"Life, Physical, and Social Science Occupations",Remote Sensing Scientists and Technologists
"Life, Physical, and Social Science Occupations",Remote Sensing Technicians
"Life, Physical, and Social Science Occupations",School Psychologists
"Life, Physical, and Social Science Occupations",Social Science Research Assistants
"Life, Physical, and Social Science Occupations","Social Scientists and Related Workers, All Other"
"Life, Physical, and Social Science Occupations",Sociologists
"Life, Physical, and Social Science Occupations",Soil and Plant Scientists
"Life, Physical, and Social Science Occupations",Soil and Water Conservationists
"Life, Physical, and Social Science Occupations",Survey Researchers
"Life, Physical, and Social Science Occupations",Transportation Planners
"Life, Physical, and Social Science Occupations",Urban and Regional Planners
"Life, Physical, and Social Science Occupations",Zoologists and Wildlife Biologists
Management Occupations,Administrative Services Managers
Management Occupations,Advertising and Promotions Managers
Management Occupations,Aquacultural Managers
Management Occupations,Architectural and Engineering Managers
Management Occupations,Biofuels Production Managers
Management Occupations,Biofuels/Biodiesel Technology and Product Development Managers
Management Occupations,Biomass Power Plant Managers
Management Occupations,Brownfield Redevelopment Specialists and Site Managers
Management Occupations,Chief Executives
Management Occupations,Chief Sustainability Officers
Management Occupations,Clinical Research Coordinators
Management Occupations,Compensation and Benefits Managers
Management Occupations,Compliance Managers
Management Occupations,Computer and Information Systems Managers
Management Occupations,Construction Managers
Management Occupations,Distance Learning Coordinators
Management Occupations,"Education Administrators, All Other"
Management Occupations,"Education Administrators, Elementary and Secondary School"
Management Occupations,"Education Administrators, Postsecondary"
Management Occupations,"Education Administrators, Preschool and Childcare Center/Program"
Management Occupations,Emergency Management Directors
Management Occupations,Farm and Ranch Managers
Management Occupations,"Farmers, Ranchers, and Other Agricultural Managers"
Management Occupations,Financial Managers
Management Occupations,"Financial Managers, Branch or Department"
Management Occupations,Fitness and Wellness Coordinators
Management Occupations,Food Service Managers
Management Occupations,Funeral Service Managers
Management Occupations,Gaming Managers
Management Occupations,General and Operations Managers
Management Occupations,Geothermal Production Managers
Management Occupations,Green Marketers
Management Occupations,Human Resources Managers
Management Occupations,Hydroelectric Production Managers
Management Occupations,Industrial Production Managers
Management Occupations,Investment Fund Managers
Management Occupations,Legislators
Management Occupations,Lodging Managers
Management Occupations,Logistics Managers
Management Occupations,Loss Prevention Managers
Management Occupations,"Managers, All Other"
Management Occupations,Marketing Managers
Management Occupations,Medical and Health Services Managers
Management Occupations,Methane/Landfill Gas Collection System Operators
Management Occupations,Natural Sciences Managers
Management Occupations,Nursery and Greenhouse Managers
Management Occupations,Postmasters and Mail Superintendents
Management Occupations,"Property, Real Estate, and Community Association Managers"
Management Occupations,Public Relations and Fundraising Managers
Management Occupations,Purchasing Managers
Management Occupations,Quality Control Systems Managers
Management Occupations,Regulatory Affairs Managers
Management Occupations,Sales Managers
Management Occupations,Security Managers
Management Occupations,Social and Community Service Managers
Management Occupations,Storage and Distribution Managers
Management Occupations,Supply Chain Managers
Management Occupations,Training and Development Managers
Management Occupations,Transportation Managers
Management Occupations,"Transportation, Storage, and Distribution Managers"
Management Occupations,Treasurers and Controllers
Management Occupations,Water Resource Specialists
Management Occupations,Wind Energy Operations Managers
Management Occupations,Wind Energy Project Managers
Military Specific Occupations,Air Crew Members
Military Specific Occupations,Air Crew Officers
Military Specific Occupations,Aircraft Launch and Recovery Officers
Military Specific Occupations,Aircraft Launch and Recovery Specialists
Military Specific Occupations,Armored Assault Vehicle Crew Members
Military Specific Occupations,Armored Assault Vehicle Officers
Military Specific Occupations,Artillery and Missile Crew Members
Military Specific Occupations,Artillery and Missile Officers
Military Specific Occupations,Command and Control Center Officers
Military Specific Occupations,Command and Control Center Specialists
Military Specific Occupations,First-Line Supervisors of Air Crew Members
Military Specific Occupations,First-Line Supervisors of All Other Tactical Operations Specialists
Military Specific Occupations,First-Line Supervisors of Weapons Specialists/Crew Members
Military Specific Occupations,Infantry
Military Specific Occupations,Infantry Officers
Military Specific Occupations,"Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members, All Other"
Military Specific Occupations,"Military Officer Special and Tactical Operations Leaders, All Other"
Military Specific Occupations,Radar and Sonar Technicians
Military Specific Occupations,Special Forces
Military Specific Occupations,Special Forces Officers
Office and Administrative Support Occupations,Bill and Account Collectors
Office and Administrative Support Occupations,Billing and Posting Clerks
Office and Administrative Support Occupations,"Billing, Cost, and Rate Clerks"
Office and Administrative Support Occupations,Bioinformatics Technicians
Office and Administrative Support Occupations,"Bookkeeping, Accounting, and Auditing Clerks"
Office and Administrative Support Occupations,Brokerage Clerks
Office and Administrative Support Occupations,Cargo and Freight Agents
Office and Administrative Support Occupations,"Communications Equipment Operators, All Other"
Office and Administrative Support Occupations,Computer Operators
Office and Administrative Support Occupations,Correspondence Clerks
Office and Administrative Support Occupations,Couriers and Messengers
Office and Administrative Support Occupations,Court Clerks
Office and Administrative Support Occupations,"Court, Municipal, and License Clerks"
Office and Administrative Support Occupations,Credit Authorizers
Office and Administrative Support Occupations,"Credit Authorizers, Checkers, and Clerks"
Office and Administrative Support Occupations,Credit Checkers
Office and Administrative Support Occupations,Customer Service Representatives
Office and Administrative Support Occupations,Data Entry Keyers
Office and Administrative Support Occupations,Desktop Publishers
Office and Administrative Support Occupations,"Dispatchers, Except Police, Fire, and Ambulance"
Office and Administrative Support Occupations,"Eligibility Interviewers, Government Programs"
Office and Administrative Support Occupations,Executive Secretaries and Executive Administrative Assistants
Office and Administrative Support Occupations,File Clerks
Office and Administrative Support Occupations,"Financial Clerks, All Other"
Office and Administrative Support Occupations,First-Line Supervisors of Office and Administrative Support Workers
Office and Administrative Support Occupations,Freight Forwarders
Office and Administrative Support Occupations,Gaming Cage Workers
Office and Administrative Support Occupations,"Hotel, Motel, and Resort Desk Clerks"
Office and Administrative Support Occupations,"Human Resources Assistants, Except Payroll and Timekeeping"
Office and Administrative Support Occupations,"Information and Record Clerks, All Other"
Office and Administrative Support Occupations,Insurance Claims and Policy Processing Clerks
Office and Administrative Support Occupations,Insurance Claims Clerks
Office and Administrative Support Occupations,Insurance Policy Processing Clerks
Office and Administrative Support Occupations,"Interviewers, Except Eligibility and Loan"
Office and Administrative Support Occupations,Legal Secretaries
Office and Administrative Support Occupations,"Library Assistants, Clerical"
Office and Administrative Support Occupations,License Clerks
Office and Administrative Support Occupations,Loan Interviewers and Clerks
Office and Administrative Support Occupations,"Mail Clerks and Mail Machine Operators, Except Postal Service"
Office and Administrative Support Occupations,Marking Clerks
Office and Administrative Support Occupations,Medical Secretaries
Office and Administrative Support Occupations,"Meter Readers, Utilities"
Office and Administrative Support Occupations,Municipal Clerks
Office and Administrative Support Occupations,New Accounts Clerks
Office and Administrative Support Occupations,"Office and Administrative Support Workers, All Other"
Office and Administrative Support Occupations,"Office Clerks, General"
Office and Administrative Support Occupations,"Office Machine Operators, Except Computer"
Office and Administrative Support Occupations,Order Clerks
Office and Administrative Support Occupations,"Order Fillers, Wholesale and Retail Sales"
Office and Administrative Support Occupations,Patient Representatives
Office and Administrative Support Occupations,Payroll and Timekeeping Clerks
Office and Administrative Support Occupations,"Police, Fire, and Ambulance Dispatchers"
Office and Administrative Support Occupations,Postal Service Clerks
Office and Administrative Support Occupations,Postal Service Mail Carriers
Office and Administrative Support Occupations,"Postal Service Mail Sorters, Processors, and Processing Machine Operators"
Office and Administrative Support Occupations,Procurement Clerks
Office and Administrative Support Occupations,"Production, Planning, and Expediting Clerks"
Office and Administrative Support Occupations,Proofreaders and Copy Markers
Office and Administrative Support Occupations,Receptionists and Information Clerks
Office and Administrative Support Occupations,Reservation and Transportation Ticket Agents and Travel Clerks
Office and Administrative Support Occupations,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
Office and Administrative Support Occupations,"Shipping, Receiving, and Traffic Clerks"
Office and Administrative Support Occupations,Statement Clerks
Office and Administrative Support Occupations,Statistical Assistants
Office and Administrative Support Occupations,Stock Clerks and Order Fillers
Office and Administrative Support Occupations,"Stock Clerks, Sales Floor"
Office and Administrative Support Occupations,"Stock Clerks- Stockroom, Warehouse, or Storage Yard"
Office and Administrative Support Occupations,"Switchboard Operators, Including Answering Service"
Office and Administrative Support Occupations,Telephone Operators
Office and Administrative Support Occupations,Tellers
Office and Administrative Support Occupations,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
Office and Administrative Support Occupations,Word Processors and Typists
Personal Care and Service Occupations,Amusement and Recreation Attendants
Personal Care and Service Occupations,Animal Trainers
Personal Care and Service Occupations,Baggage Porters and Bellhops
Personal Care and Service Occupations,Barbers
Personal Care and Service Occupations,Childcare Workers
Personal Care and Service Occupations,Concierges
Personal Care and Service Occupations,Costume Attendants
Personal Care and Service Occupations,Embalmers
Personal Care and Service Occupations,"Entertainment Attendants and Related Workers, All Other"
Personal Care and Service Occupations,First-Line Supervisors of Personal Service Workers
Personal Care and Service Occupations,Fitness Trainers and Aerobics Instructors
Personal Care and Service Occupations,Funeral Attendants
Personal Care and Service Occupations,Gaming and Sports Book Writers and Runners
Personal Care and Service Occupations,Gaming Dealers
Personal Care and Service Occupations,"Gaming Service Workers, All Other"
Personal Care and Service Occupations,Gaming Supervisors
Personal Care and Service Occupations,"Hairdressers, Hairstylists, and Cosmetologists"
Personal Care and Service Occupations,"Locker Room, Coatroom, and Dressing Room Attendants"
Personal Care and Service Occupations,"Makeup Artists, Theatrical and Performance"
Personal Care and Service Occupations,Manicurists and Pedicurists
Personal Care and Service Occupations,"Morticians, Undertakers, and Funeral Directors"
Personal Care and Service Occupations,Motion Picture Projectionists
Personal Care and Service Occupations,Nannies
Personal Care and Service Occupations,Nonfarm Animal Caretakers
Personal Care and Service Occupations,Personal Care Aides
Personal Care and Service Occupations,"Personal Care and Service Workers, All Other"
Personal Care and Service Occupations,Recreation Workers
Personal Care and Service Occupations,Residential Advisors
Personal Care and Service Occupations,Shampooers
Personal Care and Service Occupations,Skincare Specialists
Personal Care and Service Occupations,Slot Supervisors
Personal Care and Service Occupations,Spa Managers
Personal Care and Service Occupations,Tour Guides and Escorts
Personal Care and Service Occupations,Travel Guides
Personal Care and Service Occupations,"Ushers, Lobby Attendants, and Ticket Takers"
Production Occupations,Adhesive Bonding Machine Operators and Tenders
Production Occupations,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"
Production Occupations,"Assemblers and Fabricators, All Other"
Production Occupations,Bakers
Production Occupations,Biofuels Processing Technicians
Production Occupations,Biomass Plant Technicians
Production Occupations,Butchers and Meat Cutters
Production Occupations,Cabinetmakers and Bench Carpenters
Production Occupations,Chemical Equipment Operators and Tenders
Production Occupations,Chemical Plant and System Operators
Production Occupations,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders"
Production Occupations,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders"
Production Occupations,"Coil Winders, Tapers, and Finishers"
Production Occupations,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic"
Production Occupations,"Computer-Controlled Machine Tool Operators, Metal and Plastic"
Production Occupations,Cooling and Freezing Equipment Operators and Tenders
Production Occupations,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"
Production Occupations,"Cutters and Trimmers, Hand"
Production Occupations,"Cutting and Slicing Machine Setters, Operators, and Tenders"
Production Occupations,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"
Production Occupations,Dental Laboratory Technicians
Production Occupations,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
Production Occupations,Electrical and Electronic Equipment Assemblers
Production Occupations,Electromechanical Equipment Assemblers
Production Occupations,Engine and Other Machine Assemblers
Production Occupations,Etchers and Engravers
Production Occupations,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"
Production Occupations,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers"
Production Occupations,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
Production Occupations,Fabric and Apparel Patternmakers
Production Occupations,Fiberglass Laminators and Fabricators
Production Occupations,First-Line Supervisors of Production and Operating Workers
Production Occupations,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders"
Production Occupations,Food Batchmakers
Production Occupations,Food Cooking Machine Operators and Tenders
Production Occupations,"Food Processing Workers, All Other"
Production Occupations,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic"
Production Occupations,Foundry Mold and Coremakers
Production Occupations,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
Production Occupations,Furniture Finishers
Production Occupations,Gas Plant Operators
Production Occupations,Gem and Diamond Workers
Production Occupations,"Glass Blowers, Molders, Benders, and Finishers"
Production Occupations,"Grinding and Polishing Workers, Hand"
Production Occupations,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
Production Occupations,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"
Production Occupations,Helpers--Production Workers
Production Occupations,Hydroelectric Plant Technicians
Production Occupations,"Inspectors, Testers, Sorters, Samplers, and Weighers"
Production Occupations,Jewelers
Production Occupations,Jewelers and Precious Stone and Metal Workers
Production Occupations,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
Production Occupations,Laundry and Dry-Cleaning Workers
Production Occupations,"Layout Workers, Metal and Plastic"
Production Occupations,Machinists
Production Occupations,"Meat, Poultry, and Fish Cutters and Trimmers"
Production Occupations,Medical Appliance Technicians
Production Occupations,"Metal Workers and Plastic Workers, All Other"
Production Occupations,Metal-Refining Furnace Operators and Tenders
Production Occupations,Methane/Landfill Gas Generation System Technicians
Production Occupations,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic"
Production Occupations,"Mixing and Blending Machine Setters, Operators, and Tenders"
Production Occupations,"Model Makers, Metal and Plastic"
Production Occupations,"Model Makers, Wood"
Production Occupations,"Molders, Shapers, and Casters, Except Metal and Plastic"
Production Occupations,Molding and Casting Workers
Production Occupations,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic"
Production Occupations,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
Production Occupations,Nuclear Power Reactor Operators
Production Occupations,Ophthalmic Laboratory Technicians
Production Occupations,Packaging and Filling Machine Operators and Tenders
Production Occupations,"Painters, Transportation Equipment"
Production Occupations,"Painting, Coating, and Decorating Workers"
Production Occupations,"Paper Goods Machine Setters, Operators, and Tenders"
Production Occupations,"Patternmakers, Metal and Plastic"
Production Occupations,"Patternmakers, Wood"
Production Occupations,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
Production Occupations,Photographic Process Workers and Processing Machine Operators
Production Occupations,"Plant and System Operators, All Other"
Production Occupations,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic"
Production Occupations,"Potters, Manufacturing"
Production Occupations,"Pourers and Casters, Metal"
Production Occupations,Power Distributors and Dispatchers
Production Occupations,Power Plant Operators
Production Occupations,Precious Metal Workers
Production Occupations,Prepress Technicians and Workers
Production Occupations,"Pressers, Textile, Garment, and Related Materials"
Production Occupations,Print Binding and Finishing Workers
Production Occupations,Printing Press Operators
Production Occupations,"Production Workers, All Other"
Production Occupations,Recycling and Reclamation Workers
Production Occupations,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
Production Occupations,"Sawing Machine Setters, Operators, and Tenders, Wood"
Production Occupations,Semiconductor Processors
Production Occupations,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders"
Production Occupations,"Sewers, Hand"
